Original,Furigana,English,Romaji
意味,いみ,"meaning, significance",i mi
妹,いもうと,younger sister (humble),i mo u to
嫌,いや,"disagreeable, detestable, unpleasant",i ya
入口,いりぐち,entrance,i ri gu chi
居る,いる,"(humble) to be (animate), to exist",i ru
要る,いる,to need,i ru
入れる,いれる,to put in,i re ru
色,いろ,color,i ro
色々,いろいろ,various,i ro i ro
上,うえ,"above (up, top, etc.), over, on top of",u e
後ろ,うしろ,"back, behind, rear",u shi ro
薄い,うすい,"thin, weak",u su i
歌,うた,a song,u ta
歌う,うたう,to sing,u ta u
うち,うち,home; house; my place,u chi
生まれる,うまれる,to be born,u ma re ru
海,うみ,"sea, beach",u mi
売る,うる,to sell (v.t.),u ru
うるさい,うるさい,noisy; annoying,u ru sa i
上着,うわぎ,"coat, jacket",u wa gi
絵,え,a painting; a picture; a drawing,e
映画,えいが,"movie, film",e i ga
映画館,えいがかん,"movie theater, cinema",e i ga ka n
英語,えいご,English (language),e i go
ええ,ええ,yes,e e
駅,えき,station,e ki
エレベーター,エレベーター,elevator,e re be ー ta ー
～円,～えん,Yen,～ e n
鉛筆,えんぴつ,pencil,e n pi tsu
お～,お～,honorable ~ (honorific),o ～
美味しい,おいしい,"delicious, tasty",o i shi i
多い,おおい,many; there are a lot,o o i
大きい,おおきい,"big, large",o o ki i
大きな,おおきな,big,o o ki na
大勢,おおぜい,great number of people,o o ze i
お母さん,おかあさん,mother (formal),o ka a sa n
お菓子,おかし,"confections, sweets, snack",o ka shi
お金,おかね,money,o ka ne
起きる,おきる,"to get up (e.g., from sleeping); to happen",o ki ru
置く,おく,to put; to lay; to place,o ku
奥さん,おくさん,(someone else's) wife (hon.),o ku sa n
お酒,おさけ,sake; alcohol,o sa ke
お皿,おさら,"plate, dish",o sa ra
伯父; 叔父さん,おじさん,"uncle, middle-aged man",o ji sa n
おじいさん,おじいさん,"grandfather, male senior citizen",o ji i sa n
教える,おしえる,"to teach, to inform, to instruct",o shi e ru
押す,おす,"to push, to press, to stamp (e.g., a passport)",o su
遅い,おそい,slow; (to be) late,o so i
お茶,おちゃ,(green) tea,o chi ゃ
お手洗い,おてあらい,"toilet, restroom, bathroom (lit., a place to wash one's hands)",o te a ra i
お父さん,おとうさん,father (formal),o to u sa n
弟,おとうと,younger brother,o to u to
男,おとこ,"man, male",o to ko
男の子,おとこのこ,boy,o to ko no ko
一昨日,おととい,the day before yesterday,o to to i
おととし,おととし,year before last,o to to shi
大人,おとな,adult,o to na
お腹,おなか,stomach,o na ka
同じ,おなじ,"same, identical",o na ji
お兄さん,おにいさん,(someone else's) older brother (formal),o ni i sa n
お姉さん,おねえさん,older sister (formal),o ne e sa n
伯母さん; 叔母さん,おばさん,aunt,o ba sa n
おばあさん,おばあさん,"grandmother, female senior-citizen",o ba a sa n
お風呂,おふろ,a bath,o fu ro
お弁当,おべんとう,a boxed lunch,o be n to u
覚える,おぼえる,"to learn, to commit to memory, to remember, to memorize",o bo e ru
おまわりさん,おまわりさん,policeman (friendly term),o ma wa ri sa n
重い,おもい,heavy; serious,o mo i
面白い,おもしろい,"interesting, amusing",o mo shi ro i
泳ぐ,およぐ,to swim,o yo gu
降りる,おりる,to get off,o ri ru
終る,おわる,"to finish, to close",o wa ru
音楽,おんがく,Music,o n ga ku
女,おんな,"woman, female",o n na
女の子,おんなのこ,girl,o n na no ko
～回,～かい,counter for occurrences (~ times),～ ka i
～階,～かい,counter for stories (floors) of a building,～ ka i
外国,がいこく,foreign country; abroad,ga i ko ku
外国人,がいこくじん,foreigner,ga i ko ku ji n
会社,かいしゃ,"company, corporation",ka i shi ゃ
階段,かいだん,stairs,ka i da n
買い物,かいもの,shopping,ka i mo no
買う,かう,to buy,ka u
返す,かえす,to return something,ka e su
帰る,かえる,"to go back, to go home, to return",ka e ru
顔,かお,face (body part),ka o
かかる,かかる,"it takes (amount of time, money) (v.i.)",ka ka ru
鍵,かぎ,a lock; a key,ka gi
書く,かく,to write,ka ku
学生,がくせい,student,ga ku se i
～か月,～かげつ,(number of) months,～ ka ge tsu
掛ける,かける,"to put on (e.g., glasses); to hang (e.g., on a wall)",ka ke ru
かける,かける,"to dial/call (e.g., phone); to sit down",ka ke ru
傘,かさ,"umbrella, parasol",ka sa
貸す,かす,to lend,ka su
風,かぜ,"wind, breeze",ka ze
風邪,かぜ,"cold, flu",ka ze
方,かた,-- honorific form for 人 (ひと) --; way of doing,ka ta
家族,かぞく,"family, members of a family",ka zo ku
片仮名,かたかな,katakana,ka ta ka na
～月,～がつ,month of year,～ ga tsu
学校,がっこう,a school,ga っ ko u
カップ,カップ,cup,ka ッ pu
家庭,かてい,home; family,ka te i
角,かど,"corner (e.g., desk, pavement)",ka do
かばん,かばん,"bag, basket",ka ba n
花瓶,かびん,(flower) vase,ka bi n
かぶる,かぶる,"to wear, to put on (e.g., a hat on the head)",ka bu ru
紙,かみ,paper,ka mi
カメラ,カメラ,camera,ka me ra
火曜日,かようび,Tuesday,ka yo u bi
辛い,からい,hot and spicy; salty,ka ra i
体,からだ,body; health,ka ra da
借りる,かりる,"to borrow, to owe",ka ri ru
～がる,～がる,feel,～ ga ru
軽い,かるい,"light, non-serious, minor",ka ru i
カレー,カレー,curry (abbr. for curry and rice),ka re ー
カレンダー,カレンダー,calendar,ka re n da ー
川; 河,かわ,river,ka wa
～側,～がわ,~ side,～ ga wa
可愛い,かわいい,"cute, adorable",ka wa i i
漢字,かんじ,kanji; Chinese character,ka n ji
木,き,"tree, wood, timber",ki
黄色,きいろ,yellow,ki i ro
黄色い,きいろい,yellow,ki i ro i
消える,きえる,"to vanish, to disappear",ki e ru
聞く,きく,"to hear, to listen, to ask",ki ku
北,きた,north,ki ta
ギター,ギター,guitar,gi ta ー
汚い,きたない,"dirty, unclean, filthy",ki ta na i
喫茶店,きっさてん,café,ki っ sa te n
切手,きって,postal (postage) stamps,ki っ te
切符,きっぷ,a ticket,ki っ pu
昨日,きのう,yesterday,ki no u
九,きゅう,nine,ki ゅ u
牛肉,ぎゅうにく,beef,gi ゅ u ni ku
牛乳,ぎゅうにゅう,milk,gi ゅ u ni ゅ u
今日,きょう,"today, this day",ki ょ u
教室,きょうしつ,classroom,ki ょ u shi tsu
兄弟,きょうだい,"siblings (humble), brothers and sisters",ki ょ u da i
去年,きょねん,last year,ki ょ ne n
嫌い,きらい,dislike,ki ra i
切る,きる,to cut; to hang up (a phone),ki ru
着る,きる,to put on (clothes above your waist); to wear,ki ru
綺麗,きれい,"pretty, clean, tidy",ki re i
キロ; キログラム,キロ; キログラム,(abbr.) kilo (kilogram),ki ro ;   ki ro gu ra mu
キロ; キロメートル,キロ; キロメートル,(abbr.) kilo (kilometer),ki ro ;   ki ro me ー to ru
銀行,ぎんこう,bank,gi n ko u
金曜日,きんようび,Friday,ki n yo u bi
九,く,nine,ku
薬,くすり,medicine,ku su ri
下さい,ください,(with te-form verb) please do for me,ku da sa i
果物,くだもの,fruit,ku da mo no
口,くち,job opening; mouth,ku chi
靴,くつ,"shoes, footwear",ku tsu
靴下,くつした,socks,ku tsu shi ta
国,くに,country; place of origin,ku ni
曇り,くもり,"cloudiness, cloudy weather",ku mo ri
曇る,くもる,"to become cloudy, to become dim",ku mo ru
暗い,くらい,"dark, gloomy",ku ra i
～くらい; ぐらい,～くらい; ぐらい,approximate (quantity),～ ku ra i ;   gu ra i
クラス,クラス,a class,ku ra su
グラム,グラム,gram,gu ra mu
来る,くる,to come,ku ru
車,くるま,"car, vehicle",ku ru ma
黒,くろ,black,ku ro
黒い,くろい,black; dark,ku ro i
警官,けいかん,police officer,ke i ka n
今朝,けさ,this morning,ke sa
消す,けす,"to erase, to delete, to turn off power",ke su
結構,けっこう,"splendid; enough, tolerably",ke っ ko u
結婚,けっこん (する),marriage (get married),ke っ ko n   ( su ru )
月曜日,げつようび,Monday,ge tsu yo u bi
玄関,げんかん,entrance (to a house or a building),ge n ka n
元気,げんき,"health(y), energetic",ge n ki
～個,～こ,"counter for small items (e.g., fruits, cups)",～ ko
五,ご,five,go
～語,～ご,"word, language",～ go
公園,こうえん,a park,ko u e n
交差点,こうさてん,intersection,ko u sa te n
紅茶,こうちゃ,black tea,ko u chi ゃ
交番,こうばん,police box,ko u ba n
声,こえ,voice,ko e
コート,コート,"coat; court (e.g., tennis)",ko ー to
コーヒー,コーヒー,coffee,ko ー hi ー
ここ,ここ,"here, this place",ko ko
午後,ごご,"afternoon, P.M.",go go
九日,ここのか,nine days; ninth day of the month,ko ko no ka
九つ,ここのつ,nine things,ko ko no tsu
午前,ごぜん,"morning, A.M.",go ze n
答える,こたえる,"to answer, to reply",ko ta e ru
こちら,こちら,this person (polite); this way (polite),ko chi ra
こっち,こっち,this person; this direction; this side,ko っ chi
コップ,コップ,a tumbler; a glass,ko ッ pu
今年,ことし,this year,ko to shi
言葉,ことば,language; word(s); expression(s),ko to ba
子供,こども,child(ren),ko do mo
この,この,this,ko no
御飯,ごはん,rice (cooked); meal,go ha n
コピーする,コピーする,to copy,ko pi ー su ru
困る,こまる,"to be bothered, to have difficulty",ko ma ru
これ,これ,this one,ko re
～ころ; ～ごろ,～ころ; ～ごろ,"about, toward, approximately (time)",～ ko ro ;   ～ go ro
今月,こんげつ,this month,ko n ge tsu
今週,こんしゅう,this week,ko n shi ゅ u
こんな,こんな,"such, like this",ko n na
今晩,こんばん,"tonight, this evening",ko n ba n
さあ,さあ,"come now, well",sa a
～歳,～さい,~ years old,～ sa i
財布,さいふ,wallet,sa i fu
魚,さかな,fish,sa ka na
先,さき,"future; recent, previous",sa ki
咲く,さく,to bloom,sa ku
作文,さくぶん,essay; composition,sa ku bu n
差す,さす,"to raise (stretch out) hands, to raise (e.g., umbrella)",sa su
～冊,～さつ,counter for books,～ sa tsu
雑誌,ざっし,"magazine, journal",za っ shi
砂糖,さとう,sugar,sa to u
寒い,さむい,cold (in reference to weather),sa mu i
さ来年,さらいねん,year after next,sa ra i ne n
～さん,～さん,"Mr. ~, Ms. ~",～ sa n
三,さん,three,sa n
散歩,さんぽ (する),"walk, stroll",sa n po   ( su ru )
四,し,four,shi
～時,～じ,~ o'clock (time),～ ji
塩,しお,salt,shi o
しかし,しかし,however; but,shi ka shi
時間,じかん,time,ji ka n
～時間,～じかん,~ hours,～ ji ka n
仕事,しごと,"work, job, occupation, employment",shi go to
辞書,じしょ,dictionary,ji shi ょ
静か,しずか,"quiet, calm",shi zu ka
下,した,"under, below, beneath",shi ta
七,しち,seven,shi chi
質問,しつもん,"question, inquiry",shi tsu mo n
自転車,じてんしゃ,bicycle,ji te n shi ゃ
自動車,じどうしゃ,automobile,ji do u shi ゃ
死ぬ,しぬ,to die,shi nu
字引,じびき,dictionary,ji bi ki
自分,じぶん,"myself, oneself",ji bu n
閉まる,しまる,"to close, to be closed",shi ma ru
閉める,しめる,"to close, to shut",shi me ru
締める,しめる,"to tie, to fasten, to tighten",shi me ru
じゃ; じゃあ,じゃ; じゃあ,"well, well then",ji ゃ ;   ji ゃ a
写真,しゃしん,a picture; a photograph,shi ゃ shi n
シャツ,シャツ,shirt,shi ャ tsu
シャワー,シャワー,shower,shi ャ wa ー
十,じゅう,ten,ji ゅ u
～中,～じゅう,"during, while",～ ji ゅ u
～週間,～しゅうかん,~ weeks,～ shi ゅ u ka n
授業,じゅぎょう,a class (of school),ji ゅ gi ょ u
宿題,しゅくだい,homework,shi ゅ ku da i
上手,じょうず,"be good at, skillful",ji ょ u zu
丈夫,じょうぶ,"strong, solid, durable",ji ょ u bu
醤油,しょうゆ,soy sauce,shi ょ u yu
食堂,しょくどう,"cafeteria, dining hall",shi ょ ku do u
知る,しる,"to know, to understand",shi ru
白,しろ,white,shi ro
白い,しろい,white,shi ro i
～人,～じん,counter for people,～ ji n
新聞,しんぶん,newspaper,shi n bu n
水曜日,すいようび,Wednesday,su i yo u bi
吸う,すう,"to breathe in, to suck",su u
スカート,スカート,skirt,su ka ー to
好き,すき,"liking, fondness, love",su ki
～すぎ,～すぎ,"past; to exceed, ~ too much",～ su gi
少ない,すくない,a little; a few,su ku na i
すぐに,すぐに,"immediately, soon",su gu ni
少し,すこし,"little, few",su ko shi
涼しい,すずしい,"cool, refreshing (in reference to weather)",su zu shi i
～ずつ,～ずつ,at a time,～ zu tsu
ストーブ,ストーブ,heater (lit: stove),su to ー bu
スプーン,スプーン,spoon,su pu ー n
スポーツ,スポーツ,sport(s),su po ー tsu
ズボン,ズボン,trousers,zu bo n
住む,すむ,"to reside, to live in",su mu
する,する,"to do, to try; to wear small items (e.g., necktie, watch, etc.)",su ru
座る,すわる,to sit,su wa ru
背,せい,"(one's) height, stature",se i
生徒,せいと,student; pupil,se i to
セーター,セーター,sweater,se ー ta ー
石鹸,せっけん,soap,se っ ke n
背広,せびろ,men's suit,se bi ro
狭い,せまい,narrow; not spacious,se ma i
ゼロ,ゼロ,zero,ze ro
千,せん,thousand,se n
先月,せんげつ,last month,se n ge tsu
先週,せんしゅう,last week,se n shi ゅ u
先生,せんせい,"teacher, professor; master; doctor",se n se i
洗濯,せんたく,"washing, laundry",se n ta ku
全部,ぜんぶ,"all, entire, whole",ze n bu
そう; そうです,そう; そうです,"yes; appears, to be the case",so u ;   so u de su
掃除,そうじ (する),"cleaning, sweeping",so u ji   ( su ru )
そうして; そして,そうして; そして,"and, like that",so u shi te ;   so shi te
そこ,そこ,"that place, there; bottom, sole",so ko
そちら,そちら,over there,so chi ra
そっち,そっち,over there,so っ chi
外,そと,"outside, exterior",so to
その,その,that,so no
そば,そば,"near, close, beside; Japanese traditional buckwheat noodle",so ba
空,そら,sky,so ra
それ,それ,that one,so re
それから,それから,"and then, after that",so re ka ra
それでは,それでは,"in that situation, well then...",so re de ha
～台,～だい,counter for vehicles; machines,～ da i
大学,だいがく,college; university,da i ga ku
大使館,たいしかん,embassy,ta i shi ka n
大丈夫,だいじょうぶ,It's ok (all right); No need to worry; Everything is under control,da i ji ょ u bu
大好き,だいすき,"very like-able, like very much",da i su ki
大切,たいせつ,important,ta i se tsu
台所,だいどころ,kitchen,da i do ko ro
大変,たいへん,"very; difficult, hard",ta i he n
高い,たかい,"tall, high; expensive",ta ka i
～だけ,～だけ,"only ~, just ~, as ~",～ da ke
沢山,たくさん,"many, much",ta ku sa n
タクシー,タクシー,taxi,ta ku shi ー
出す,だす,to take (something) out; to hand in (something),da su
～たち,～たち,plural suffix,～ ta chi
立つ,たつ,to stand up,ta tsu
たて,たて,"length, height",ta te
建物,たてもの,building,ta te mo no
楽しい,たのしい,"enjoyable, fun",ta no shi i
頼む,たのむ,"to request, to ask (a favor)",ta no mu
たばこ,たばこ,"tobacco, cigarettes",ta ba ko
多分,たぶん,"perhaps, probably, maybe",ta bu n
食べ物,たべもの,food,ta be mo no
食べる,たべる,to eat,ta be ru
卵,たまご,egg,ta ma go
誰,だれ,who,da re
誰か,だれか,someone,da re ka
誕生日,たんじょうび,birthday,ta n ji ょ u bi
段々,だんだん,"gradually, by degrees",da n da n
小さい,ちいさい,"small, little",chi i sa i
小さな,ちいさな,"small, little",chi i sa na
近い,ちかい,"near, close by, short",chi ka i
違う,ちがう,to be different; to differ; wrong,chi ga u
近く,ちかく,nearby; in the neighborhood,chi ka ku
地下鉄,ちかてつ,"underground train, subway",chi ka te tsu
地図,ちず,a map,chi zu
父,ちち,(my) father,chi chi
茶色,ちゃいろ,brown,chi ゃ i ro
茶碗,ちゃわん,rice bowl,chi ゃ wa n
～中,～ちゅう,"during, while ~ing",～ chi ゅ u
丁度,ちょうど,"just, right, exactly",chi ょ u do
ちょっと,ちょっと,"a little, somewhat; just a little, somewhat",chi ょ っ to
一日,ついたち,one day; first day of the month,tsu i ta chi
使う,つかう,to use,tsu ka u
疲れる,つかれる,to get (become) tired; to become fatigued,tsu ka re ru
次,つぎ,next,tsu gi
着く,つく,"to arrive at, to reach",tsu ku
机,つくえ,desk,tsu ku e
作る,つくる,"to make, to create",tsu ku ru
つける,つける,"to turn on (e.g., a light); to take",tsu ke ru
勤める,つとめる,to work (for),tsu to me ru
つまらない,つまらない,"boring, dull; insignificant",tsu ma ra na i
冷たい,つめたい,"cold (things, people)",tsu me ta i
強い,つよい,"strong, powerful",tsu yo i
手,て,hand,te
テープ,テープ,tape,te ー pu
テープレコーダー,テープレコーダー,tape recorder,te ー pu re ko ー da ー
テーブル,テーブル,table,te ー bu ru
出かける,でかける,to go out; to depart,de ka ke ru
手紙,てがみ,letter,te ga mi
できる,できる,to be able to (to accomplish),de ki ru
出口,でぐち,an exit,de gu chi
テスト,テスト,test,te su to
では,では,"then, well, so",de ha
デパート,デパート,(abbr.) department store,de pa ー to
でも,でも,"but, however",de mo
出る,でる,"to appear, to leave",de ru
テレビ,テレビ,"television, TV",te re bi
天気,てんき,weather,te n ki
電気,でんき,"electricity, (electric) light",de n ki
電車,でんしゃ,electric train,de n shi ゃ
電話,でんわ,a telephone,de n wa
戸,と,door (Japanese style),to
～度,～ど,counter for occurrences; ~ degree; ~ point,～ do
ドア,ドア,door (Western style),do a
トイレ,トイレ,bathroom; toilet,to i re
どう,どう,"how, in what way",do u
どうして,どうして,"why, for what reason",do u shi te
どうぞ,どうぞ,"please, kindly, by all means",do u zo
動物,どうぶつ,animal,do u bu tsu
どうも,どうも,Thank you; somehow; no matter how hard one may try,do u mo
十,(〜を) とお,ten (~),( 〜 wo )   to o
遠い,とおい,"far (away), distant",to o i
十日,とおか,ten days; tenth day of the month,to o ka
～時,～とき,at the time of ~,～ to ki
時々,ときどき,sometimes,to ki do ki
時計,とけい,a watch; a clock,to ke i
どこ,どこ,"where, what place",do ko
所,ところ,place,to ko ro
年,とし,"year, age",to shi
図書館,としょかん,library,to shi ょ ka n
どちら,どちら,which (one) (way); where (polite),do chi ra
どっち,どっち,"which one, which way",do っ chi
とても,とても,"very (much), greatly, exceedingly",to te mo
どなた,どなた,who,do na ta
隣,となり,"next to, next door to",to na ri
どの,どの,which,do no
飛ぶ,とぶ,"to fly, to hop",to bu
止まる,とまる,to come to a halt,to ma ru
友達,ともだち,friend,to mo da chi
土曜日,どようび,Saturday,do yo u bi
鳥,とり,"chicken (lit., bird)",to ri
鶏肉,とりにく,chicken meat,to ri ni ku
取る,とる,to take (a class); to get (a grade),to ru
撮る,とる,"to take (a photo), to make (a film)",to ru
どれ,どれ,which one,do re
どんな,どんな,"what, what kind of",do n na
ない,ない,"there isn't, doesn't have",na i
ナイフ,ナイフ,knife,na i fu
中,なか,"inside, middle, among",na ka
長い,ながい,"long, lengthy",na ga i
鳴く,なく,to make sound (animal),na ku
無くす,なくす,to lose something,na ku su
なぜ,なぜ,why (same as どうして),na ze
夏,なつ,summer,na tsu
夏休み,なつやすみ,summer vacation,na tsu ya su mi
～など,～など,et cetera,～ na do
七つ,ななつ,seven things,na na tsu
何,なん; なに,what,na n ;   na ni
七日,なのか,seven days; seventh day (of the month),na no ka
名前,なまえ,name,na ma e
習う,ならう,to learn,na ra u
並ぶ,ならぶ,"to line up, to stand in a line (v.i.)",na ra bu
並べる,ならべる,to put (things) side by side; to line up,na ra be ru
なる,なる,to become,na ru
何～,なん～,what sort of ~,na n ～
二,に,two,ni
にぎやか,にぎやか,"bustling, busy",ni gi ya ka
肉,にく,meat,ni ku
西,にし,west,ni shi
～日,～にち,"~ day of the month, for ~ days",～ ni chi
日曜日,にちようび,Sunday,ni chi yo u bi
荷物,にもつ,luggage; baggage,ni mo tsu
ニュース,ニュース,news,ni ュ ー su
庭,にわ,garden,ni wa
～人,～にん,counter for people,～ ni n
脱ぐ,ぬぐ,to take off (clothes),nu gu
温い,ぬるい,lukewarm,nu ru i
ネクタイ,ネクタイ,"tie, necktie",ne ku ta i
猫,ねこ,cat,ne ko
寝る,ねる,to sleep; to go to sleep; to go to bed,ne ru
～年,～ねん,~ years,～ ne n
ノート,ノート,notebook,no ー to
登る,のぼる,to climb,no bo ru
飲み物,のみもの,"drink, beverage",no mi mo no
飲む,のむ,to drink,no mu
乗る,のる,"to get on, to ride in, to board",no ru
歯,は,tooth,ha
パーティー,パーティー,a party,pa ー te ィ ー
はい,はい,yes,ha i
～杯,～はい,counter for cupfuls,～ ha i
灰皿,はいざら,ashtray,ha i za ra
入る,はいる,"to enter, to contain, to hold",ha i ru
葉書,はがき,postcard,ha ga ki
はく,はく,to put on (items below your waist),ha ku
箱,はこ,box,ha ko
橋,はし,bridge,ha shi
箸,はし,chopsticks,ha shi
始まる,はじまる,(something) begins,ha ji ma ru
初め; 始め,はじめ,"beginning, start",ha ji me
初めて,はじめて,for the first time,ha ji me te
走る,はしる,to run,ha shi ru
バス,バス,bus; bath; bass,ba su
バター,バター,butter,ba ta ー
二十歳,はたち,20 years old,ha ta chi
働く,はたらく,to work,ha ta ra ku
八,はち,eight,ha chi
二十日,はつか,"twenty days, twentieth (day of the month)",ha tsu ka
花,はな,flower,ha na
鼻,はな,nose,ha na
話,はなし,"talk (chat), story",ha na shi
話す,はなす,to speak,ha na su
母,はは,(my) mother,ha ha
早い,はやい,early,ha ya i
速い,はやい,"fast, quick",ha ya i
春,はる,spring,ha ru
貼る,はる,to post; to paste; to attach,ha ru
晴れ,はれ,clear (sunny) weather,ha re
晴れる,はれる,to be sunny,ha re ru
半,はん,"half (e.g., にじはん | half-past two)",ha n
晩,ばん,evening,ba n
～番,～ばん,~st; ~th best,～ ba n
パン,パン,bread,pa n
ハンカチ,ハンカチ,handkerchief,ha n ka chi
番号,ばんごう,"number, series of digits",ba n go u
晩御飯,ばんごはん,"dinner, evening meal",ba n go ha n
半分,はんぶん,half,ha n bu n
東,ひがし,east,hi ga shi
～匹,～ひき,counter for small animals,～ hi ki
引く,ひく,"to pull, to draw; subtract",hi ku
弾く,ひく,to play (a string instrument or piano),hi ku
低い,ひくい,"short, low",hi ku i
飛行機,ひこうき,airplane,hi ko u ki
左,ひだり,left hand side,hi da ri
人,ひと,"man, person",hi to
一つ,ひとつ,one thing,hi to tsu
一月,ひとつき,one month,hi to tsu ki
一人,ひとり,one person,hi to ri
暇,ひま,"free time, leisure",hi ma
百,ひゃく,hundred,hi ゃ ku
病院,びょういん,hospital,bi ょ u i n
病気,びょうき,illness; sickness,bi ょ u ki
平仮名,ひらがな,hiragana,hi ra ga na
昼,ひる,"noon, daytime",hi ru
昼御飯,ひるごはん,"lunch, midday meal",hi ru go ha n
広い,ひろい,spacious; wide; broad,hi ro i
フィルム,フィルム,film (roll of),fu ィ ru mu
封筒,ふうとう,envelope,fu u to u
プール,プール,swimming pool,pu ー ru
フォーク,フォーク,fork,fu ォ ー ku
吹く,ふく,"to blow (wind, etc.)",fu ku
服,ふく,clothes,fu ku
二つ,ふたつ,two things,fu ta tsu
豚肉,ぶたにく,pork,bu ta ni ku
二人,ふたり,two people,fu ta ri
二日,ふつか,two days; second day of the month,fu tsu ka
太い,ふとい,"fat, thick",fu to i
冬,ふゆ,winter,fu yu
降る,ふる,"to precipitate, to fall (e.g., rain, snow, etc.)",fu ru
古い,ふるい,"old (in reference to objects, not people), aged, ancient",fu ru i
～分,～ふん,~ minutes,～ fu n
文章,ぶんしょう,"sentence, text",bu n shi ょ u
ページ,ページ,a page,pe ー ji
下手,へた,"unskillful, poor",he ta
ベッド,ベッド,bed,be ッ do
ペット,ペット,pet,pe ッ to
部屋,へや,a room,he ya
辺,へん,"area, vicinity",he n
ペン,ペン,pen,pe n
勉強,べんきょう (する),study,be n ki ょ u   ( su ru )
便利,べんり,"convenient, handy",be n ri
帽子,ぼうし,hat; cap,bo u shi
ボールペン,ボールペン,ball-point pen,bo ー ru pe n
外,ほか,"other, the rest",ho ka
ポケット,ポケット,pocket,po ke ッ to
欲しい,ほしい,"to want, in need of",ho shi i
ポスト,ポスト,"mailbox; post, position",po su to
細い,ほそい,"thin, slender, fine",ho so i
ボタン,ボタン,button,bo ta n
ホテル,ホテル,hotel,ho te ru
本,ほん,book,ho n
～本,～ほん,counter for long cylindrical things,～ ho n
本棚,ほんだな,bookshelf,ho n da na
本当,ほんとう,"real, true",ho n to u
～枚,～まい,counter for flat things,～ ma i
毎朝,まいあさ,every morning,ma i a sa
毎月,まいげつ; まいつき,"every month, monthly",ma i ge tsu ;   ma i tsu ki
毎週,まいしゅう,every week,ma i shi ゅ u
毎日,まいにち,every day,ma i ni chi
毎年,まいねん; まいとし,"every year, yearly, annually",ma i ne n ;   ma i to shi
毎晩,まいばん,every night,ma i ba n
前,まえ,"before, in front",ma e
～前,～まえ,in front of ~,～ ma e
曲る,まがる,"to turn, to bend",ma ga ru
まずい,まずい,"terrible (in reference to food), unappetizing, unpleasant (taste)",ma zu i
また,また,and; furthermore,ma ta
まだ,まだ,"yet, still, besides",ma da
町,まち,town; city,ma chi
待つ,まつ,to wait,ma tsu
まっすぐ,まっすぐ,"straight (ahead), direct",ma っ su gu
マッチ,マッチ,match,ma ッ chi
窓,まど,window,ma do
丸い; 円い,まるい,"round, circular",ma ru i
万,まん,ten thousand,ma n
万年筆,まんねんひつ,fountain pen,ma n ne n hi tsu
磨く,みがく,to brush (teeth); to polish,mi ga ku
右,みぎ,right hand side,mi gi
短い,みじかい,short (length),mi ji ka i
